lat,lon,認可施設.事業所等名,利用定員,所在地,電話番号,公私,設置主体,施設の類型,開設時間.平日.,受入可能年齢,特別保育の実施状況
35.225785,136.856765,うきの風の子保育園,120,愛知県名古屋市西区浮野町97,505-9550,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,一時保育,入所予約
NA,NA,上小田井第二保育園,60,愛知県名古屋市西区市場木町440,505-5512,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,入所予約
35.22658,136.863723,詩織保育園,69,愛知県名古屋市西区西原町88,938-3253,私立,社会福祉法人,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育
35.226648,136.900323,比良すみれ保育園,90,愛知県名古屋市西区比良二丁目175,505-5777,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育
35.186241,136.885813,エンゼルキッズ押切,40,愛知県名古屋市西区押切一丁目9,325-6800,私立,学校法人,保育所,午前7時00分から午後7時00分,産休あけから3歳,延長保育
35.208095,136.889423,エンゼルキッズ名塚,40,愛知県名古屋市西区名塚町四丁目49,325-6900,私立,学校法人,保育所,午前7時00分から午後7時00分,産休あけから3歳,延長保育
NA,NA,リーゴ五才美保育園,60,愛知県名古屋市西区五才美町57,504-2800,私立,一般財団法人,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,ちゃいれっく南堀越保育園,60,愛知県名古屋市西区南堀越一丁目607,325-2406,私立,株式会社,保育所,午前7時00分から午後8時00分,6ヶ月から5歳,延長保育
NA,NA,トット保育園庄内通,60,愛知県名古屋市西区香呑町6丁目2,522-2281,私立,株式会社,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,リーゴ上小田井保育園,60,愛知県名古屋市西区中小田井四丁目409,503-9700,私立,一般財団法人,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,ちいさなおうちえん城西,15,愛知県名古屋市西区城西4,522-2277,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.195001,136.890971,ニチイキッズ浄心保育室,14,愛知県名古屋市西区上名古屋三丁目25,522-1055,私立,株式会社,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,名古屋市家庭保育室オアシス名西,15,愛知県名古屋市西区又穂町4,325-6000,私立,社会福祉法人,小規模保育事業B型,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,小規模保育事業ソラーナじょうさい,19,愛知県名古屋市西区城西5丁目22,982-8345,私立,社会福祉法人,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.189051,136.885595,ふたば館,11,愛知県名古屋市西区天神山町3,522-7608,私立,社会福祉法人,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.211759,136.874711,チャイルドほーむ小田井園,15,愛知県名古屋市西区中小田井二丁目34,502-6960,私立,株式会社,小規模保育事業A型,午前7時30分から午後6時30分,産休あけから2歳,
35.232331,136.898594,すもも保育室,5,愛知県名古屋市西区比良四丁目149,504-0383,私立,個人,家庭的保育事業,午前7時30分から午後6時30分,産休あけから2歳,
NA,NA,新富町保育園,90,愛知県名古屋市中村区新富町2,471-6419,公立,名古屋市,保育所,午前7時30分から午後6時30分,6ヶ月から5歳,
35.164212,136.881104,平池保育園,90,愛知県名古屋市中村区太閤一丁目17,451-8997,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,二ツ橋保育園,90,愛知県名古屋市中村区二ツ橋町3,481-3500,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,森田保育園,90,愛知県名古屋市中村区森田町1,481-2401,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,烏森保育園,90,愛知県名古屋市中村区烏森町8,481-2377,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,荒輪井保育園,120,愛知県名古屋市中村区荒輪井町1,411-7200,公立,名古屋市,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育,入所予約
